,OP009336.1,OP009335.1,OP009333.1,OP009332.1,OP009331.1,KU836736.1,KU836735.1,KU836734.1,KU836733.1,OR333944.1,OR333943.1,OR333941.1,OR333938.1,OR333937.1,OR333936.1,OR333935.1,OR333934.1,OR333932.1,OR333931.1,OR333930.1,OP066373.1,OP009341.1,OP009340.1,OP009339.1,OP009338.1,OP009337.1
OP009336.1,,,,,,,,,,,,,,,,,,,,,,,,,,
OP009335.1,"0,0069051420",,,,,,,,,,,,,,,,,,,,,,,,,
OP009333.1,"0,0057528850","0,0034455010",,,,,,,,,,,,,,,,,,,,,,,,
OP009332.1,"0,0046001370","0,0069007523","0,0057492293",,,,,,,,,,,,,,,,,,,,,,,
OP009331.1,"0,0011474203","0,0057502539","0,0045990854","0,0034476886",,,,,,,,,,,,,,,,,,,,,,
KU836736.1,"3,7933330955","3,7228308798","3,7228308798","3,7307164899","3,7933330955",,,,,,,,,,,,,,,,,,,,,
KU836735.1,"3,9936457084","4,0518911445","4,0460309288","4,0460309288","3,9994479887","4,1777542639",,,,,,,,,,,,,,,,,,,,
KU836734.1,"3,6188185708","3,5749338882","3,5709017776","3,5749338882","3,6188185708","5,6735411196","3,8960427593",,,,,,,,,,,,,,,,,,,
KU836733.1,"5,7637614729","5,7763818809","5,7907305576","5,8061600257","5,7593208439","4,3623558146","4,0987086197","4,2855038548",,,,,,,,,,,,,,,,,,
OR333944.1,"4,5020799821","4,4526068693","4,4568868532","4,4547292585","4,5020799821","4,2938902131","2,9310604205","5,6464217863","4,5459905727",,,,,,,,,,,,,,,,,
OR333943.1,"6,2707563915","6,2373758710","6,2373758710","6,2378809041","6,2707563915","4,5897474588","3,9220118034","4,3092680784","5,8450411021","4,3602451973",,,,,,,,,,,,,,,,
OR333941.1,"6,2659686238","6,2319628768","6,2319628768","6,2324500468","6,2659686238","4,5342276095","3,7956847183","4,2397449943","5,8415865945","4,3399786301","0,0000000000",,,,,,,,,,,,,,,
OR333938.1,"4,3904614924","4,3474873301","4,3487890679","4,3502496506","4,3904614924","4,6764576480","4,3173133818","2,4517987898","3,4773090548","3,0764946100","3,3975813590","3,3801660691",,,,,,,,,,,,,,
OR333937.1,"4,3669927765","4,3234157694","4,3246073195","4,3258185200","4,3657379659","4,5180535419","4,2033076777","2,7158432848","3,5185062400","3,3263949068","3,4826091321","3,2968105171","0,1446113631",,,,,,,,,,,,,
OR333936.1,"4,2617885204","4,2150153084","4,2155353796","4,2160649290","4,2594719737","4,5779919523","4,2245658778","2,7277036544","3,4535192274","3,3234365019","3,5098341920","3,3601709492","0,1417976305","0,0072783886",,,,,,,,,,,,
OR333935.1,"4,3768502232","4,3312243485","4,3325547365","4,3339079424","4,3756512355","4,4443342337","4,1126043768","2,7408358835","3,5058792395","3,2713132507","3,4873836475","3,3661676572","0,1452659623","0,0073627805","0,0024487330",,,,,,,,,,,
OR333934.1,"3,9917495755","3,9406007371","3,9390290492","3,9374270485","3,9865068050","4,7991260848","4,0419022768","2,7003582365","3,2205345123","3,3442953675","3,4198941998","3,2976706632","0,1380311814","0,0397229072","0,0346583668","0,0274767197",,,,,,,,,,
OR333932.1,"4,1911651523","4,1495941381","4,1464154040","4,1527435192","4,1911651523","5,6724907055","3,7943452416","3,7160494560","2,6582891341","4,6082697853","6,0657550155","6,1596995634","1,7860181042","3,5890042363","3,6484239367","3,6734489796","3,0358107247",,,,,,,,,
OR333931.1,"4,3022918254","4,2570766414","4,2578613136","4,2586596660","4,3004088078","4,5372376971","4,1839937821","2,7133694507","3,4843499745","3,3750173157","3,4314192158","3,2978175545","0,1462305816","0,0036322126","0,0072647035","0,0061284081","0,0396736444","3,6119658735",,,,,,,,
